day,holiday,calendar_week,class,start,end,abbreviation
Sunday,Pfingsten,19,4,2016-05-15,2016-05-15,PFG
Monday,Pfingstmontag,20,1,2016-05-16,2016-05-16,PFM
Thursday,Fronleichnam,21,1,2016-05-26,2016-05-26,FRL
Monday,Tag der Deutschen Einheit,40,1,2016-10-03,2016-10-03,TDE
Tuesday,Allerheiligen,44,1,2016-11-01,2016-11-01,ALH
Sunday,Volkstrauertag,45,4,2016-11-13,2016-11-13,VLT
Sunday,Ewigkeitssonntag,46,5,2016-11-20,2016-11-20,EWS
Sunday,Erster Advent,47,5,2016-11-27,2016-11-27,ESA
Sunday,Zweiter Advent,48,5,2016-12-04,2016-12-04,AD2
Tuesday,St. Nikolaus,49,5,2016-12-06,2016-12-06,STN
Sunday,Dritter Advent,49,5,2016-12-11,2016-12-11,AD3
Sunday,Vierter Advent,50,5,2016-12-18,2016-12-18,AD4
Saturday,Heiliger Abend,51,5,2016-12-24,2016-12-24,HAB
Sunday,Weihnachten,51,1,2016-12-25,2016-12-25,WHN
Monday,Zweiter Weihnachtsfeiertag,52,1,2016-12-26,2016-12-26,WF2
Saturday,Silvester,52,5,2016-12-31,2016-12-31,SLV
Thursday,Neujahr,1,1,2015-01-01,2015-01-01,NEJ
Tuesday,Heilige drei Könige,2,1,2015-01-06,2015-01-06,HdK
Saturday,Valentinstag,7,5,2015-02-14,2015-02-14,VLT
Wednesday,Aschermittwoch,8,5,2015-02-18,2015-02-18,ASM
Sunday,Palmsonntag,13,5,2015-03-29,2015-03-29,PLM
Friday,Karfreitag,14,1,2015-04-03,2015-04-03,KRF
Sunday,Ostern,14,4,2015-04-05,2015-04-05,OST
Monday,Ostermontag,15,1,2015-04-06,2015-04-06,OSM
Friday,Tag der Arbeit,18,1,2015-05-01,2015-05-01,TdA
Saturday,Europatag,19,5,2015-05-09,2015-05-09,EUT
Sunday,Muttertag,19,5,2015-05-10,2015-05-10,MUT
Thursday,Christi Himmelfahrt,20,1,2015-05-14,2015-05-14,CRH
Sunday,Pfingsten,21,4,2015-05-24,2015-05-24,PFG
Monday,Pfingstmontag,22,1,2015-05-25,2015-05-25,PFM
Thursday,Fronleichnam,23,1,2015-06-04,2015-06-04,FRL
Saturday,Tag der Deutschen Einheit,40,1,2015-10-03,2015-10-03,TDE
Sunday,Allerheiligen,44,1,2015-11-01,2015-11-01,ALH
Sunday,Volkstrauertag,46,4,2015-11-15,2015-11-15,VLT
Sunday,Ewigkeitssonntag,47,5,2015-11-22,2015-11-22,EWS
Sunday,Erster Advent,48,5,2015-11-29,2015-11-29,ESA
